,Year,Link
337,2005,https://www.espncricinfo.com/ci/engine/series/index.html?season=2005;view=season
338,2005/06,https://www.espncricinfo.com/ci/engine/series/index.html?season=2005%2F06;view=season
339,2006,https://www.espncricinfo.com/ci/engine/series/index.html?season=2006;view=season
340,2006/07,https://www.espncricinfo.com/ci/engine/series/index.html?season=2006%2F07;view=season
341,2007,https://www.espncricinfo.com/ci/engine/series/index.html?season=2007;view=season
342,2007/08,https://www.espncricinfo.com/ci/engine/series/index.html?season=2007%2F08;view=season
343,2008,https://www.espncricinfo.com/ci/engine/series/index.html?season=2008;view=season
344,2008/09,https://www.espncricinfo.com/ci/engine/series/index.html?season=2008%2F09;view=season
345,2009,https://www.espncricinfo.com/ci/engine/series/index.html?season=2009;view=season
346,2009/10,https://www.espncricinfo.com/ci/engine/series/index.html?season=2009%2F10;view=season
347,2010,https://www.espncricinfo.com/ci/engine/series/index.html?season=2010;view=season
348,2010/11,https://www.espncricinfo.com/ci/engine/series/index.html?season=2010%2F11;view=season
349,2011,https://www.espncricinfo.com/ci/engine/series/index.html?season=2011;view=season
350,2011/12,https://www.espncricinfo.com/ci/engine/series/index.html?season=2011%2F12;view=season
351,2012,https://www.espncricinfo.com/ci/engine/series/index.html?season=2012;view=season
352,2012/13,https://www.espncricinfo.com/ci/engine/series/index.html?season=2012%2F13;view=season
353,2013,https://www.espncricinfo.com/ci/engine/series/index.html?season=2013;view=season
354,2013/14,https://www.espncricinfo.com/ci/engine/series/index.html?season=2013%2F14;view=season
355,2014,https://www.espncricinfo.com/ci/engine/series/index.html?season=2014;view=season
356,2014/15,https://www.espncricinfo.com/ci/engine/series/index.html?season=2014%2F15;view=season
357,2015,https://www.espncricinfo.com/ci/engine/series/index.html?season=2015;view=season
358,2015/16,https://www.espncricinfo.com/ci/engine/series/index.html?season=2015%2F16;view=season
359,2016,https://www.espncricinfo.com/ci/engine/series/index.html?season=2016;view=season
360,2016/17,https://www.espncricinfo.com/ci/engine/series/index.html?season=2016%2F17;view=season
361,2017,https://www.espncricinfo.com/ci/engine/series/index.html?season=2017;view=season
362,2017/18,https://www.espncricinfo.com/ci/engine/series/index.html?season=2017%2F18;view=season
363,2018,https://www.espncricinfo.com/ci/engine/series/index.html?season=2018;view=season
364,2018/19,https://www.espncricinfo.com/ci/engine/series/index.html?season=2018%2F19;view=season
365,2019,https://www.espncricinfo.com/ci/engine/series/index.html?season=2019;view=season
366,2019/20,https://www.espncricinfo.com/ci/engine/series/index.html?season=2019%2F20;view=season
367,2020,https://www.espncricinfo.com/ci/engine/series/index.html?season=2020;view=season
368,2020/21,https://www.espncricinfo.com/ci/engine/series/index.html?season=2020%2F21;view=season
369,2021,https://www.espncricinfo.com/ci/engine/series/index.html?season=2021;view=season
370,2021/22,https://www.espncricinfo.com/ci/engine/series/index.html?season=2021%2F22;view=season
371,2022,https://www.espncricinfo.com/ci/engine/series/index.html?season=2022;view=season
372,2022/23,https://www.espncricinfo.com/ci/engine/series/index.html?season=2022%2F23;view=season
373,2023,https://www.espncricinfo.com/ci/engine/series/index.html?season=2023;view=season
374,2023/24,https://www.espncricinfo.com/ci/engine/series/index.html?season=2023%2F24;view=season
375,2024,https://www.espncricinfo.com/ci/engine/series/index.html?season=2024;view=season
376,2024/25,https://www.espncricinfo.com/ci/engine/series/index.html?view=season
377,2025,https://www.espncricinfo.com/ci/engine/series/index.html?season=2025;view=season
378,2025/26,https://www.espncricinfo.com/ci/engine/series/index.html?season=2025%2F26;view=season
